# model,mass,ctau,obs,exp,exp-2s,exp-1s,exp+1s,exp+1s
BToPhi,2.400,1.00,4.1588,0.8359,0.4114,0.5773,1.1891,1.6172
BToPhi,2.400,10.00,0.2172,0.0220,0.0093,0.0136,0.0370,0.0598
BToPhi,2.400,100.00,0.5942,0.0498,0.0214,0.0316,0.0828,0.1359
BToPhi,2.460,1.00,4.7139,0.8555,0.4211,0.5840,1.2169,1.6441
BToPhi,2.460,10.00,0.1990,0.0210,0.0089,0.0130,0.0354,0.0572
BToPhi,2.460,100.00,0.6856,0.0439,0.0182,0.0274,0.0744,0.1235
BToPhi,2.520,1.00,1.7168,0.8594,0.4297,0.5908,1.2259,1.6649
BToPhi,2.520,10.00,0.0686,0.0210,0.0089,0.0130,0.0354,0.0572
BToPhi,2.520,100.00,0.1820,0.0444,0.0187,0.0280,0.0756,0.1254
BToPhi,2.580,1.00,2.3137,0.8555,0.4344,0.5923,1.2237,1.6489
BToPhi,2.580,10.00,0.0727,0.0210,0.0089,0.0130,0.0354,0.0563
BToPhi,2.580,100.00,0.2176,0.0444,0.0184,0.0273,0.0745,0.1233
BToPhi,4.300,1.00,0.4354,0.1533,0.0791,0.1075,0.2175,0.2952
BToPhi,4.300,10.00,0.0232,0.0112,0.0046,0.0066,0.0173,0.0260
BToPhi,4.300,100.00,0.0387,0.0244,0.0111,0.0157,0.0392,0.0608
BToPhi,4.360,1.00,0.2462,0.1333,0.0687,0.0935,0.1891,0.2558
BToPhi,4.360,10.00,0.0230,0.0093,0.0038,0.0055,0.0149,0.0228
BToPhi,4.360,100.00,0.0480,0.0210,0.0089,0.0130,0.0347,0.0543
BToPhi,4.440,1.00,0.0850,0.0962,0.0462,0.0657,0.1388,0.1898
BToPhi,4.440,10.00,0.0098,0.0083,0.0039,0.0053,0.0144,0.0222
BToPhi,4.440,100.00,0.0238,0.0210,0.0089,0.0130,0.0341,0.0541
BToPhi,4.520,1.00,0.0947,0.0977,0.0515,0.0695,0.1378,0.1869
BToPhi,4.520,10.00,0.0091,0.0093,0.0038,0.0055,0.0143,0.0226
BToPhi,4.520,100.00,0.0255,0.0210,0.0089,0.0130,0.0344,0.0542
BToPhi,4.600,1.00,0.0739,0.0757,0.0384,0.0527,0.1086,0.1499
BToPhi,4.600,10.00,0.0073,0.0054,0.0017,0.0031,0.0105,0.0160
BToPhi,4.600,100.00,0.0206,0.0151,0.0052,0.0083,0.0262,0.0439
